Id,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,OverallQual,OverallCond,YearBuilt,RoofMatl,Exterior1st,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,SaleType,SaleCondition,LogSalePrice
146,1,2522,3,4,7,0,1,6,5,105,0,2,2,1,1,2,4,1,6,970,0,1,1709,2,0,3,2,7,0,0,2,2,0,40,0,0,0,0,8,0,11.77528972943772
147,1,6120,3,0,3,0,0,5,6,35,0,2,3,1,0,2,4,1,1,715,1,1,875,2,0,2,3,5,6,0,2,1,48,0,0,0,0,0,8,0,11.56171562913966
148,2,9505,0,1,8,0,0,7,5,102,0,2,2,1,1,2,4,1,6,884,0,1,2035,2,1,3,2,8,6,1,2,2,144,48,0,0,0,0,8,0,12.312682380588432
149,2,7500,3,4,20,0,0,7,5,105,0,2,3,1,1,2,4,1,2,1080,0,1,1080,2,0,3,2,6,6,0,1,0,0,0,0,0,0,0,8,0,11.856515169360305
150,1,6240,3,4,3,0,0,5,4,39,0,2,3,1,0,2,4,1,6,896,1,1,1344,1,0,3,3,7,6,0,2,1,200,114,0,0,0,0,8,0,11.652687407345388
151,2,10356,3,0,5,0,0,5,6,76,0,2,3,1,1,2,4,1,1,969,1,1,969,1,1,3,3,5,6,0,0,2,0,0,0,0,0,0,8,0,11.711776323715394
152,2,13891,3,4,16,0,0,8,5,108,0,2,2,1,1,0,4,0,2,1710,0,1,1710,3,0,2,2,6,6,1,0,3,0,102,0,0,0,0,6,1,12.827729194939907
153,2,14803,0,1,14,0,0,6,5,72,0,2,3,1,1,2,4,1,5,825,1,1,1993,2,1,4,3,8,6,1,0,2,0,66,0,0,0,0,8,0,12.154779351142624
154,2,13500,3,4,4,0,0,6,6,61,0,1,3,1,1,2,4,0,1,1602,1,1,1252,2,0,1,3,4,6,1,0,2,409,0,0,0,0,0,8,0,12.367340793126296
155,1,11340,3,0,17,0,0,6,5,27,0,2,3,1,0,2,4,1,6,1200,1,1,1200,1,0,4,3,7,6,0,2,1,0,0,228,0,0,0,8,1,11.736069016284437
156,2,9600,3,0,7,1,0,6,5,28,0,2,3,1,0,2,4,1,6,572,1,0,1096,1,0,2,3,5,6,0,1,0,0,8,128,0,0,0,8,0,11.27720313144916
157,2,7200,3,4,12,0,0,5,6,51,0,2,3,1,1,1,2,2,4,0,1,1,1040,1,0,2,3,5,6,0,2,2,0,0,0,0,0,0,8,0,11.603679828238693
158,2,12003,3,0,23,0,0,8,5,110,0,2,2,1,1,0,4,1,6,774,0,1,1968,2,1,4,0,8,6,1,2,3,0,75,0,0,0,0,6,1,12.504323669331189
159,1,12552,3,0,21,0,0,7,5,105,0,2,2,1,1,2,4,1,2,991,0,1,1947,2,1,3,2,8,6,1,0,2,0,136,0,0,0,0,8,0,12.448626590364206
160,2,19378,0,0,8,0,0,7,5,106,0,2,2,1,1,2,4,1,2,1392,0,1,2462,3,1,4,2,9,6,1,0,2,239,132,0,168,0,0,6,1,12.676076274775909
161,2,11120,0,1,24,0,0,6,6,85,0,2,3,1,1,2,4,1,1,1232,1,1,1232,2,0,3,3,6,6,0,0,2,0,0,0,0,0,0,8,0,11.998433280751929
162,2,13688,0,4,16,0,0,9,5,104,0,2,2,1,1,0,4,1,2,1572,0,1,2668,3,1,3,0,10,6,2,2,3,400,0,0,0,0,0,8,0,12.929991484756872
163,2,12182,3,0,16,0,0,7,5,106,0,2,2,1,1,2,4,1,1,1541,0,1,1541,2,0,3,2,7,6,1,0,2,0,70,0,0,0,0,6,1,12.301382825334498
164,2,5500,3,4,17,0,0,4,6,57,0,2,3,1,1,2,4,1,6,882,0,1,882,1,0,1,3,4,6,0,1,0,0,0,0,0,0,0,8,0,11.544424132029599
165,1,5400,3,0,17,0,0,6,6,30,0,2,3,1,0,2,4,1,3,1149,1,1,1616,2,0,3,2,5,6,0,2,1,0,0,183,0,0,0,8,0,11.931635799828413
166,2,10106,3,4,7,0,1,5,6,43,0,2,3,1,0,2,4,1,0,644,1,1,1355,3,0,4,3,6,6,0,1,0,140,0,0,0,0,0,8,0,11.755871643580617
167,2,10708,0,4,4,0,0,5,5,56,0,2,2,1,1,2,4,1,3,1617,0,1,1867,2,0,2,3,7,6,3,0,1,476,0,0,0,142,0,0,0,12.154779351142624
168,2,10562,3,4,16,0,0,8,5,108,0,2,2,1,1,0,4,1,2,1582,0,1,2161,2,1,3,0,8,6,1,0,3,178,120,0,0,0,0,6,1,12.693498620467778
169,2,8244,0,4,8,0,0,7,5,105,0,2,2,1,1,2,4,1,6,840,0,1,1720,2,1,3,2,7,6,1,0,2,100,48,0,0,0,0,8,0,12.119969946476761
170,2,16669,0,0,23,0,0,8,6,82,0,2,2,1,1,2,4,1,6,1686,1,1,1707,2,1,2,3,6,6,1,0,2,574,64,0,0,0,0,8,0,12.337100907936577
171,1,12358,0,4,17,1,0,5,6,44,0,2,3,1,1,2,4,1,5,720,1,1,1382,1,1,2,3,7,6,0,2,2,237,0,0,0,0,0,8,0,11.763684183317412
172,2,31770,0,0,12,0,0,6,5,61,0,1,3,1,1,2,1,0,1,1080,1,1,1656,2,0,3,3,7,6,2,0,2,210,62,0,0,0,0,8,0,12.2783933071098
173,2,5306,0,4,22,0,1,7,6,88,0,2,2,1,1,2,1,1,2,1064,1,1,1767,3,0,2,2,5,6,1,0,2,441,35,0,0,0,0,8,0,12.384218830913648
174,2,10197,0,4,12,0,0,6,5,62,0,2,3,1,1,2,4,1,0,1362,1,1,1362,2,1,3,3,6,6,1,0,2,0,20,0,0,0,0,0,0,12.0015054797889
175,2,12416,0,4,23,0,0,6,5,87,0,2,3,1,1,2,0,1,0,1606,1,1,1651,3,0,3,3,7,3,1,0,2,192,0,0,0,0,0,8,0,12.122691036591123
176,2,12615,3,0,7,0,0,6,6,51,0,2,3,1,1,2,1,1,0,1202,1,1,2158,3,0,4,2,7,6,1,0,2,0,29,39,0,0,0,8,0,12.400816722322686
177,2,10029,0,0,4,0,0,6,5,89,0,2,2,1,1,2,4,1,2,1151,1,1,2060,2,2,4,3,8,6,1,0,2,0,228,0,0,192,0,8,0,12.259613412458204
178,2,13650,3,4,19,0,0,5,5,59,0,2,2,1,1,2,4,1,0,1052,0,1,1920,3,0,4,2,8,6,1,0,2,0,0,0,0,0,0,8,0,12.058152515453552
179,2,17423,0,1,22,0,0,9,5,109,0,2,0,1,1,0,4,1,2,2216,0,1,2234,3,0,1,0,9,6,1,0,3,0,60,0,0,0,0,6,1,13.1260306447518
180,1,8520,3,4,17,0,0,5,6,27,0,2,2,1,1,2,4,1,6,968,1,1,968,1,0,2,3,5,6,0,2,2,0,0,184,0,0,0,8,0,11.512925464970229
181,1,2117,3,4,21,0,1,6,5,101,0,2,2,1,1,2,4,1,2,756,0,1,1525,2,1,3,2,5,6,1,2,2,0,0,0,0,0,0,8,0,12.083905011555967
182,2,7588,3,4,6,0,0,7,6,24,0,2,3,1,0,2,4,1,3,793,1,1,1802,1,1,4,3,9,6,1,2,1,0,0,40,0,0,0,8,0,12.206572520571825
183,2,9060,3,4,7,1,0,5,6,58,0,2,3,1,1,1,2,2,4,0,0,1,1340,1,0,3,3,7,6,1,0,1,116,0,0,180,0,0,8,0,11.695247021764184
184,1,11426,3,4,17,0,0,7,5,104,0,2,3,1,1,2,4,1,6,1362,0,1,2082,2,1,3,2,6,4,0,2,2,280,238,0,0,0,0,8,0,12.206072645530174
185,2,7438,0,4,3,2,0,5,6,13,0,0,3,1,1,2,4,1,6,504,1,1,1252,1,0,3,3,5,6,0,0,2,104,0,0,0,0,0,8,0,11.751942365440728
186,1,22950,1,4,17,1,0,10,5,6,1,2,2,1,0,2,4,1,6,1107,0,1,3608,2,1,4,0,12,6,2,2,3,0,260,0,0,410,0,8,0,13.071070083016778
187,2,9947,0,1,11,0,0,7,5,91,0,2,3,1,1,2,4,1,2,1188,0,1,1217,3,0,3,2,6,6,0,0,2,168,27,0,0,0,0,8,0,12.061046873479915
188,2,10410,3,4,17,0,0,5,6,20,0,2,3,1,1,2,4,1,6,660,0,1,1656,2,1,3,3,8,3,0,2,1,0,0,0,140,0,0,8,0,11.813030057420567
189,2,7018,3,4,20,1,1,5,5,80,0,2,3,1,1,2,4,1,2,1086,1,1,1224,2,2,2,3,6,6,2,2,2,120,0,0,0,0,0,8,1,11.940393392554734
190,2,4923,3,4,22,0,1,8,5,102,0,2,2,1,1,0,4,1,2,1593,0,1,1593,2,1,0,0,5,6,1,0,2,0,120,0,0,224,0,8,0,12.56374708980199
191,2,10570,3,4,6,0,0,8,6,36,0,1,2,1,1,2,1,1,5,853,1,1,2727,2,1,3,2,10,0,2,2,2,0,74,0,0,0,0,8,0,12.66032791780777
192,2,7472,0,1,12,0,0,7,5,73,0,2,3,1,1,2,4,1,0,725,1,1,1479,2,1,4,2,7,6,0,0,2,0,32,0,0,0,0,8,0,12.122691036591123
193,2,9017,0,4,5,0,0,7,5,100,0,2,2,1,1,2,4,1,2,1431,0,1,1431,3,0,3,2,6,6,0,0,2,0,35,0,0,0,0,8,0,12.165250651009918
194,1,2522,3,4,7,0,1,7,5,105,0,2,2,1,1,2,4,1,6,970,0,1,1709,2,0,3,2,7,0,0,2,2,0,40,0,0,0,0,8,0,11.77528972943772
195,2,7180,0,4,5,0,0,5,6,73,0,2,3,1,1,2,4,1,0,864,1,1,864,1,0,3,3,5,6,0,2,1,0,0,0,0,0,0,8,0,11.751942365440728
196,2,2280,3,2,13,0,1,6,6,77,0,2,3,1,1,2,4,1,0,855,1,1,1456,2,1,3,3,7,6,1,0,2,87,0,0,0,0,0,8,0,11.908340237224891
197,2,9416,3,4,21,0,0,7,5,108,0,2,0,1,1,0,4,1,2,1726,0,1,1726,3,0,3,0,8,6,1,0,3,171,138,0,0,266,0,6,1,12.650348126203179
198,2,25419,3,0,12,1,0,8,4,22,0,2,2,1,1,2,4,1,2,1360,1,1,3112,3,1,4,2,8,6,1,2,2,0,16,552,0,0,0,8,1,12.367340793126296
199,1,5520,3,0,17,0,0,6,6,16,0,2,3,1,1,2,4,1,6,755,0,1,2229,1,0,5,3,8,6,0,1,0,0,198,30,0,0,0,8,1,11.55214617812351
200,2,9591,3,4,16,0,0,8,5,105,0,2,2,1,1,0,4,1,2,1713,0,1,1713,3,0,3,0,7,6,1,0,3,0,26,0,0,170,0,8,0,12.524162674153336
201,1,8546,3,0,7,0,0,4,5,104,0,2,3,1,1,2,4,1,6,1121,0,1,1121,2,0,2,3,5,6,0,0,2,132,64,0,0,0,0,8,0,11.84939770159144
202,2,10125,3,4,11,0,0,6,6,78,0,2,3,1,1,2,4,1,0,1196,1,1,1279,2,1,3,3,6,6,2,2,2,238,83,0,0,0,0,8,0,12.052338545588132
203,2,7000,3,0,17,1,0,6,6,28,0,2,3,1,0,2,4,1,3,617,1,1,1310,2,0,2,3,6,2,0,0,1,0,0,126,0,0,0,0,0,11.626254150277232
204,1,4438,3,4,5,0,1,6,5,105,0,2,2,1,1,2,4,1,2,848,0,1,848,2,0,1,2,3,6,1,0,2,149,0,0,0,0,0,8,0,11.911701584927597
205,1,3500,3,4,17,0,0,5,6,48,0,0,3,1,1,2,4,1,3,720,1,1,1284,1,1,2,3,5,6,0,2,1,0,35,0,0,0,0,8,0,11.608235644774552
206,2,11851,3,0,8,0,0,7,5,91,0,2,3,1,1,2,4,1,6,1424,0,1,1442,2,0,3,3,5,6,0,0,2,0,34,0,508,0,0,8,0,12.103486056755072
207,2,13673,0,1,19,1,0,5,5,63,0,2,3,1,1,2,4,1,6,1140,1,1,1696,1,1,3,3,8,3,1,0,1,0,30,0,0,0,0,8,0,11.876873892875459
208,2,12493,0,4,12,0,0,4,5,61,0,2,3,1,1,2,4,1,0,1100,1,1,1100,2,0,3,3,6,6,1,0,1,355,0,0,0,0,0,8,0,11.856515169360305
209,2,14364,0,4,20,0,0,7,5,89,0,2,2,1,1,2,4,0,2,1157,0,1,2062,3,1,3,3,7,6,1,0,2,60,55,0,0,154,0,8,0,12.531772785169476
210,2,8250,3,4,12,0,0,6,6,65,0,2,3,1,1,2,4,1,5,1092,0,1,1092,2,0,3,3,6,6,0,0,2,0,0,0,0,0,0,8,0,11.884489021402711
211,2,5604,3,4,7,0,0,5,6,29,0,2,3,1,1,2,4,1,5,864,1,0,864,2,0,2,3,5,6,0,1,0,0,0,96,0,0,0,8,0,11.49272275765271
212,2,10420,3,0,7,0,0,6,5,110,0,2,3,1,1,2,4,1,2,1212,0,1,1212,2,0,3,2,6,6,0,0,2,100,22,0,0,0,0,8,0,12.133501952695338
213,1,8640,3,4,21,0,0,7,5,110,0,2,3,1,1,2,4,1,2,900,0,1,1852,3,1,3,2,7,6,1,0,2,168,108,0,0,0,0,6,1,12.439871229831715
214,2,13568,1,1,5,0,0,5,5,96,0,2,3,1,1,2,4,1,0,990,0,1,990,1,1,3,3,5,6,0,0,2,224,0,0,0,0,0,8,0,11.957611286231675
215,2,10900,0,2,5,0,0,6,6,78,0,2,3,1,1,2,4,1,2,689,0,1,1392,1,1,3,3,6,6,0,0,1,0,36,0,0,0,450,8,0,11.993807212363148
216,2,10011,0,4,12,0,0,5,6,58,0,2,3,1,1,2,4,1,1,1070,1,1,1236,1,1,2,2,6,2,1,0,1,0,0,0,0,0,0,8,0,11.80894766169701
217,2,8450,3,4,5,0,0,7,5,105,0,2,2,1,1,2,4,1,2,1436,0,1,1436,3,0,3,2,8,6,0,0,2,139,98,0,0,0,0,8,0,12.254862809699606
218,1,9906,3,4,17,0,0,4,4,29,0,2,3,1,1,2,4,1,6,686,1,0,1328,1,0,3,3,8,6,0,2,1,0,172,60,0,0,0,8,1,11.580584113444043
219,2,15660,0,0,6,0,0,7,5,42,0,2,2,1,1,2,4,1,1,798,0,1,1954,1,2,3,2,8,6,2,0,2,0,119,150,0,0,0,8,0,12.649154617209645
220,2,3010,3,4,0,0,1,7,5,106,0,2,2,1,1,2,4,1,2,1248,0,1,1248,2,0,2,2,5,6,0,0,2,108,0,0,0,0,0,6,1,12.0271851854705
221,2,8990,0,4,5,0,0,7,5,107,0,2,2,1,1,2,4,1,6,1498,0,1,1498,2,0,2,2,5,6,0,0,2,351,33,0,0,0,0,6,1,12.230277334226992
222,2,8068,0,4,8,0,0,6,5,103,0,2,2,1,1,2,4,1,6,1010,0,1,2267,2,1,4,2,8,6,1,2,2,120,46,0,0,0,0,4,0,12.206072645530174
223,2,11475,3,4,14,2,0,6,6,76,0,2,3,1,1,2,4,1,0,713,1,1,1552,3,1,3,3,6,6,1,0,2,209,208,0,0,0,0,8,0,12.100156419938624
224,2,10500,3,2,12,0,0,4,6,72,0,2,3,1,1,2,4,1,0,864,1,1,864,1,0,2,3,4,6,0,2,2,216,0,0,0,0,0,8,1,11.48246625748552
225,2,13472,3,4,16,0,0,10,5,104,0,2,0,1,1,0,4,0,2,2392,0,1,2392,2,0,3,0,8,6,1,0,3,248,105,0,0,0,0,8,0,12.864240107194092
226,1,1680,3,4,2,0,1,5,5,72,0,2,3,1,1,2,4,1,6,630,1,1,1302,2,1,3,3,6,6,0,2,1,0,0,0,0,0,0,0,1,11.626254150277232
227,2,9950,0,4,15,0,0,7,5,96,0,2,2,1,1,2,4,1,2,1203,0,1,2520,2,1,4,2,9,6,1,0,3,224,114,0,0,0,0,8,1,12.577636201962656
228,1,1869,3,4,2,0,1,6,6,71,0,2,3,1,1,2,4,1,5,483,1,1,987,1,1,2,3,5,6,0,2,1,0,0,0,0,0,0,8,0,11.571194373094205
229,2,8521,3,2,19,1,0,5,5,68,0,2,3,1,1,2,4,1,0,912,1,1,912,1,0,3,3,5,6,1,2,1,0,0,0,0,0,0,8,0,11.736069016284437
230,2,3182,3,4,0,0,1,7,5,106,0,2,2,1,1,2,4,1,2,1373,0,1,1555,2,0,2,2,7,6,1,0,2,143,20,0,0,0,0,8,0,12.167851432709975
231,2,8760,3,4,12,0,0,6,6,60,0,2,3,1,1,2,4,1,6,1194,1,1,1194,2,0,3,3,6,6,0,0,1,0,0,120,0,0,0,8,0,11.904967552746252
232,2,15138,0,4,15,0,0,8,5,96,0,2,2,1,1,2,4,1,2,1462,0,1,2794,3,1,4,0,9,6,1,0,3,0,146,202,0,0,0,8,0,12.90669184092882
233,1,1680,3,4,2,0,1,6,5,73,0,2,3,1,1,2,4,1,6,483,1,1,987,1,1,2,3,5,6,1,0,1,0,0,0,0,0,0,8,0,11.456355113481834
234,2,10650,3,0,5,0,0,5,6,77,0,2,3,1,1,2,1,1,3,894,1,1,894,2,0,3,3,5,6,0,0,1,365,0,0,0,0,0,8,0,11.761346823468706
235,2,7851,3,4,8,0,0,6,5,103,0,2,2,1,1,2,4,1,2,860,0,1,1960,3,1,4,2,8,6,2,2,2,288,48,0,0,0,0,8,0,12.285345826424681
236,1,1680,3,4,2,0,1,6,3,72,0,2,3,1,1,2,4,1,0,483,1,1,987,1,1,2,3,5,6,0,2,1,0,0,0,0,0,0,8,0,11.401993904262946
237,2,8773,3,2,5,0,0,7,5,105,0,2,2,1,1,2,4,1,2,1414,0,1,1414,2,0,3,2,6,6,0,0,2,132,105,0,0,0,0,8,0,12.130810161029627
238,2,9453,0,1,20,1,0,7,6,94,0,2,2,1,1,2,4,1,1,996,0,1,1744,2,1,3,2,7,6,0,0,2,370,70,0,238,0,0,8,0,12.178187442040638
239,2,12030,3,4,16,0,0,8,5,108,0,2,0,1,1,0,4,1,6,1694,0,1,1694,2,0,3,2,7,6,0,0,3,168,228,0,0,0,0,6,1,12.669806661762314
240,2,8741,3,4,7,0,0,6,4,46,0,2,3,1,1,2,0,1,3,735,1,1,1487,1,1,3,3,7,6,1,2,1,0,140,0,0,0,0,8,0,11.635143097694478
241,1,9000,3,4,21,0,0,8,5,109,0,2,2,1,1,2,4,1,2,1566,0,1,1566,3,0,3,2,7,6,0,0,2,144,168,0,0,0,0,8,0,12.478006361013815
242,1,3880,3,4,17,0,0,5,5,46,0,2,3,1,1,2,4,1,0,686,1,1,866,1,0,2,2,4,6,0,1,0,58,42,0,0,0,0,8,0,11.612770799939945
243,1,5000,3,0,17,0,0,5,4,9,0,2,3,1,0,2,4,1,6,540,1,0,1440,1,0,3,3,6,6,0,0,1,0,0,77,0,0,0,8,0,11.27720313144916
244,2,10762,3,0,20,0,1,6,6,81,0,2,3,1,1,2,4,1,6,626,1,1,1217,1,1,3,3,6,6,1,0,1,0,28,0,0,0,0,8,0,11.695247021764184
245,2,8880,0,4,20,0,0,7,5,95,0,2,2,1,1,2,4,1,2,948,0,1,2110,3,1,3,2,8,6,2,0,2,0,130,0,0,0,0,8,0,12.230765258120545
246,2,10400,3,4,14,0,0,7,5,89,0,2,3,1,1,2,4,1,2,1845,1,1,1872,2,1,3,3,6,6,1,0,2,197,39,0,0,0,0,8,0,12.394624752074764
247,1,9142,3,4,17,0,1,6,6,14,0,0,3,0,1,2,4,1,6,1020,1,0,1928,2,0,4,1,9,6,0,2,1,0,60,112,0,0,0,8,0,11.827736204810263
248,2,11310,3,4,12,0,0,6,5,55,0,2,3,1,1,2,4,1,6,1367,0,1,1375,1,0,2,3,5,6,1,0,2,0,30,0,0,0,0,8,0,11.84939770159144
249,2,11317,3,4,5,0,0,7,5,104,0,2,2,1,1,2,4,1,6,840,0,1,1668,2,1,3,2,8,6,0,0,2,144,68,0,0,0,0,8,0,12.100712129872347
250,2,159000,1,1,4,0,0,6,6,59,0,2,2,1,1,2,4,0,5,1444,1,1,2144,2,1,4,2,7,6,2,0,2,0,98,0,0,0,500,8,0,12.531772785169476
251,2,5350,0,4,3,0,0,3,3,43,0,2,3,0,1,2,4,1,6,728,0,1,1306,1,0,3,1,6,4,0,1,0,263,0,0,0,0,450,8,0,11.245046019814627
252,1,4750,0,4,6,0,1,8,5,107,0,2,2,1,1,2,4,0,2,1573,0,1,1625,3,1,2,2,5,6,1,0,2,123,0,0,0,153,0,8,1,12.367340793126296
253,2,8366,0,4,20,0,0,6,5,105,0,2,2,1,1,2,4,1,6,798,0,1,1640,2,1,3,2,6,6,0,0,2,138,45,0,0,0,0,8,0,12.061046873479915
254,2,9350,3,4,12,0,0,6,6,65,0,2,3,1,1,2,4,0,3,1302,0,1,1302,2,1,3,2,7,2,0,0,1,333,0,0,0,0,0,1,0,11.970350312009105
255,2,8400,3,4,12,0,0,5,6,58,0,2,3,1,1,2,4,1,5,1314,1,1,1314,2,0,3,3,5,6,0,0,1,250,0,0,0,0,0,8,0,11.884489021402711
256,2,8738,0,4,8,0,0,7,5,100,0,2,2,1,1,2,4,1,6,975,0,1,2291,2,1,4,2,8,6,1,2,2,192,0,0,0,0,0,8,0,12.345834587905333
257,1,8791,0,4,21,0,0,6,5,104,0,2,2,1,1,2,4,1,5,864,0,1,1728,2,1,3,2,7,6,0,0,2,216,56,0,0,0,0,8,0,12.24288661865289
258,2,8814,3,4,5,0,0,7,5,107,0,2,2,1,1,2,4,1,2,1604,0,1,1604,3,1,3,2,8,6,1,0,2,123,110,0,0,0,0,8,1,12.301382825334498
259,2,12435,3,4,5,0,0,7,5,102,0,2,2,1,1,2,4,1,2,963,0,1,1792,2,1,3,2,7,6,1,0,2,0,96,0,245,0,0,8,0,12.352335152508426
260,1,12702,3,4,17,0,0,5,5,57,0,1,3,1,1,1,2,2,4,0,1,1,882,1,0,2,3,4,6,0,2,1,0,45,0,0,0,0,8,0,11.48246625748552
261,2,19296,3,0,12,1,0,6,5,63,0,2,3,1,1,2,4,0,5,1362,1,1,1382,2,0,3,3,6,6,1,0,2,0,0,252,0,0,0,8,0,12.078239274020289
262,2,9588,0,4,5,0,0,8,5,108,0,2,2,1,1,0,4,1,6,1482,0,1,2574,2,1,3,0,10,6,1,2,3,0,148,0,0,0,0,6,1,12.528156144699286
263,2,8471,0,0,19,0,0,6,6,78,0,2,3,1,1,2,1,1,0,506,1,1,1212,2,0,3,3,6,6,1,0,2,292,12,0,0,0,0,8,0,11.925035115797062
264,1,5500,3,0,17,0,0,5,6,33,0,2,3,1,0,2,4,1,3,926,1,1,1316,2,0,3,3,6,6,0,2,2,0,0,0,0,0,0,8,0,11.77528972943772
265,1,5232,2,4,17,1,0,5,5,29,0,2,3,1,0,2,4,1,6,680,1,0,764,1,0,2,3,4,6,0,2,2,0,0,0,0,0,0,8,0,11.198214720130528
266,2,12090,0,4,14,0,0,6,6,82,0,2,3,1,1,2,4,1,2,1422,1,1,1422,2,0,3,2,7,6,1,0,2,276,0,0,0,0,0,8,0,12.075394321888057
267,2,11207,0,2,8,0,0,6,5,98,0,2,3,1,1,2,4,1,2,802,1,1,1511,3,1,3,3,8,6,1,0,2,95,75,0,0,0,0,8,0,12.128111104060462
268,2,8400,3,4,18,0,0,5,6,42,0,2,3,1,1,2,4,1,3,720,0,1,2192,2,1,4,2,8,6,1,2,1,262,24,0,0,0,0,8,0,12.097930486910471
269,1,6900,3,4,9,0,0,5,6,43,0,2,3,1,1,2,4,1,0,740,0,1,778,1,0,2,3,4,6,1,2,1,0,25,0,0,0,0,8,0,11.699405031912846
270,2,7917,0,0,7,0,0,6,6,77,0,2,3,1,1,2,1,1,1,1143,1,1,1113,2,1,3,3,6,6,1,0,1,370,30,0,0,0,0,8,0,11.904967552746252
271,1,10728,3,4,21,0,0,8,5,107,0,2,2,1,1,2,4,1,6,1095,1,1,1939,2,1,3,2,8,6,1,0,3,192,51,0,0,0,0,6,1,12.491251587763836
272,2,39104,0,1,4,0,0,7,6,55,0,2,3,1,1,2,4,0,3,1385,0,1,1363,2,0,2,3,5,4,2,0,2,81,0,0,0,0,0,8,0,12.394624752074764
273,2,11764,0,1,15,0,0,8,6,100,0,2,2,1,1,2,4,1,2,1152,0,1,2270,2,1,4,2,9,6,1,0,3,132,57,0,0,0,0,8,0,12.577636201962656
274,2,9600,3,4,12,1,0,6,6,59,0,2,3,1,1,2,4,1,5,1240,1,1,1632,3,0,3,3,6,2,1,0,1,289,0,0,0,0,0,8,0,11.842229212112828
275,2,8314,3,0,11,0,0,5,6,83,0,2,3,1,1,2,4,0,0,816,1,1,816,1,0,2,3,5,6,0,0,1,168,0,0,0,0,0,8,0,11.732060994886899
276,2,7264,3,4,3,0,0,7,6,29,0,2,2,1,0,2,4,1,6,952,1,0,1548,2,1,3,0,5,6,0,2,2,74,0,0,0,144,0,8,0,12.230765258120545
277,2,9196,0,4,11,0,0,7,5,104,0,2,2,1,1,0,4,1,6,1560,0,1,1560,2,0,3,2,7,6,0,0,2,100,150,0,0,0,0,8,0,12.211060187041213
278,2,19138,3,0,8,0,0,4,5,52,0,2,3,1,1,2,4,1,3,864,0,1,864,1,0,2,3,4,6,0,2,2,0,0,0,0,0,0,8,0,11.856515169360305
279,2,14450,3,4,16,0,0,9,5,107,0,2,0,1,1,0,4,0,6,2121,0,1,2121,2,1,3,0,8,6,1,0,3,124,98,0,0,142,0,6,1,12.936751613811438
280,2,10005,3,4,4,0,0,7,5,78,0,2,3,1,1,2,4,1,1,1160,0,1,2022,2,1,4,3,8,6,1,0,2,288,117,0,0,0,0,8,0,12.165250651009918
281,2,11287,3,4,20,0,0,7,6,90,0,2,2,1,1,2,4,1,2,807,1,1,1982,2,1,3,2,7,6,1,0,2,0,84,0,196,0,0,8,0,12.339291489316397
282,1,7200,3,4,21,0,0,6,5,107,0,2,2,1,1,2,4,1,2,1262,1,1,1262,2,0,2,2,5,6,0,0,2,0,120,0,0,0,0,6,1,12.128111104060462
283,2,5063,3,4,16,0,1,7,5,108,0,2,2,1,1,2,4,1,2,1314,0,1,1314,3,0,2,2,6,6,1,0,2,172,62,0,0,0,0,5,0,12.24288661865289
284,2,9612,3,4,21,1,0,8,5,109,0,2,2,1,1,2,4,1,6,1468,0,1,1468,2,0,3,2,6,6,1,0,3,210,150,0,0,0,0,6,1,12.407379502235209
285,2,8012,3,4,20,0,1,6,5,93,0,2,2,1,1,2,4,1,2,1575,1,1,1575,3,0,2,2,5,6,0,0,2,0,0,52,0,0,0,8,0,12.096257779522967
286,1,4251,0,4,21,0,1,7,5,107,0,2,2,1,1,2,4,1,6,625,0,1,1250,2,1,2,2,5,6,0,2,2,0,54,0,0,0,0,6,1,12.011880916165731
287,2,9786,0,4,12,0,0,6,6,63,0,2,3,1,1,2,4,1,5,912,1,1,1734,1,1,3,2,7,6,1,0,2,0,0,0,0,128,0,8,0,11.976659481202368
288,2,8125,0,0,12,0,0,4,4,72,0,2,3,1,1,2,4,1,1,858,1,1,858,1,0,3,3,5,6,0,1,0,0,0,0,0,0,0,8,0,11.385092093460344
289,2,9819,0,4,19,0,0,5,5,68,0,2,3,1,1,2,4,1,1,882,1,1,900,1,0,3,3,5,6,0,2,1,0,0,0,0,0,0,8,0,11.711776323715394
290,2,8730,3,4,3,2,0,6,6,19,0,2,3,1,0,2,4,1,6,698,0,1,1396,1,0,3,3,7,6,0,2,1,0,0,0,0,259,0,8,0,11.941944326032129
291,2,15611,3,4,5,0,0,8,5,107,0,2,2,1,1,2,4,1,6,1079,0,1,1919,2,1,3,2,8,6,1,0,2,0,51,0,0,0,0,6,1,12.359780370124389
292,2,5687,3,4,18,0,1,5,6,16,0,2,3,0,1,2,0,1,5,780,0,0,1716,3,0,6,1,9,6,0,1,0,0,184,0,0,0,0,8,0,11.819674600139235
293,2,11409,3,4,7,0,0,5,4,50,0,2,3,1,1,2,4,1,3,768,1,1,1716,1,1,3,3,8,3,1,0,1,0,0,0,0,160,0,8,0,11.782952602183288
